GACC	State	Group	Site	Date	Fuel	Percent	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-10-06	10-Hour	18	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-09-22	10-Hour	20	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-09-10	10-Hour	28	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Timber	2015-08-26	10-Hour	15	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2017-05-15	Redcedar, Eastern	127	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2017-05-04	Redcedar, Eastern	99	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2017-04-11	Redcedar, Eastern	92	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2017-03-15	Redcedar, Eastern	101	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2017-03-09	Redcedar, Eastern	108	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-12-06	Redcedar, Eastern	107	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-11-21	Redcedar, Eastern	124	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-11-09	Redcedar, Eastern	130	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-10-27	Redcedar, Eastern	136	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-05-17	Redcedar, Eastern	114	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-05-04	Redcedar, Eastern	96	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-04-14	Redcedar, Eastern	89	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2016-03-28	Redcedar, Eastern	97	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-12-03	Redcedar, Eastern	112	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-11-20	Redcedar, Eastern	133	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-11-03	Redcedar, Eastern	129	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-10-22	Redcedar, Eastern	137	
EACC	IA	IA-DNR	Hitchcock Cedar Fuels	2015-05-27	Redcedar, Eastern	136	
